index,n_cells
Gnb1,1178
Gnb2,1194
Gnb2l1,1196
Gng10,981
Gng12,1127
Gng5,1196
Gnl1,740
Gnl2,735
Gnl3,993
Gnl3l,669
Gnpat,676
Gns,604
Golga2,611
Golga4,1057
Golga7,1051
Golgb1,965
Golim4,748
Golph3,962
Golt1b,714
Gorasp2,1030
Gosr2,688
Got1,735
Got2,1104
Gpaa1,816
Gpatch4,679
Gpatch8,715
Gpbp1,1018
Gpbp1l1,803
Gpd2,792
Gpi1,1185
Gpr108,780
Gpr56,721
Gps1,1005
Gps2,818
Gpx1,1194
Gpx2,651
Gpx4,1171
Grb2,1039
Grcc10,1190
Grhl1,642
Grhpr,631
Grina,834
Grn,847
Grpel1,1149
Grpel2,731
Grsf1,793
Gse1,675
Gsk3a,895
Gsk3b,1076
Gsn,996
Gspt1,1150
Gsr,880
Gss,635
Gsta4,810
Gstm1,994
Gstm2,602
Gsto1,1125
Gstp1,1123
Gt(ROSA)26Sor,758
Gtf2a2,1111
Gtf2b,741
Gtf2e2,804
Gtf2f1,859
Gtf2f2,880
Gtf2h1,796
Gtf2h5,1148
Gtf2i,1023
Gtf2ird1,606
Gtf3a,827
Gtf3c2,756
Gtf3c6,912
